480.0,148.0,-2.0,350.0,370.0,1.0,0.0
476.0,134.0,-16.0,336.0,384.0,1.0,0.0
472.0,120.0,-30.0,322.0,398.0,1.0,0.0
468.0,106.0,-44.0,308.0,412.0,1.0,0.0
464.0,92.0,-58.0,294.0,426.0,0.0,1.0
460.0,79.0,-71.0,281.0,439.0,0.0,1.0
456.0,67.0,-83.0,269.0,451.0,0.0,1.0
452.0,56.0,-94.0,258.0,462.0,0.0,1.0
448.0,46.0,-104.0,248.0,472.0,0.0,1.0
444.0,37.0,-113.0,239.0,481.0,0.0,1.0
440.0,29.0,-121.0,231.0,489.0,0.0,1.0
436.0,22.0,-128.0,224.0,496.0,0.0,1.0
432.0,16.0,-134.0,218.0,502.0,0.0,1.0
428.0,11.0,-139.0,213.0,507.0,0.0,1.0
424.0,7.0,-143.0,209.0,511.0,0.0,1.0
420.0,4.0,-146.0,206.0,514.0,0.0,1.0
416.0,2.0,-148.0,204.0,516.0,0.0,1.0
412.0,1.0,-149.0,203.0,517.0,0.0,1.0
408.0,1.0,-149.0,203.0,517.0,0.0,1.0
404.0,2.0,-148.0,204.0,516.0,0.0,1.0
400.0,4.0,-146.0,206.0,514.0,0.0,1.0
396.0,14.0,-136.0,216.0,504.0,0.0,1.0
392.0,24.2,-125.8,226.2,493.8,0.0,1.0
388.0,34.6,-115.4,236.6,483.4,0.0,1.0
384.0,45.2,-104.8,247.2,472.8,0.0,1.0
380.0,56.0,-94.0,258.0,462.0,0.0,1.0
376.0,67.0,-83.0,269.0,451.0,0.0,1.0
372.0,78.2,-71.8,280.2,439.8,0.0,1.0
368.0,89.6,-60.4,291.6,428.4,0.0,1.0
364.0,101.2,-48.8,303.2,416.8,1.0,0.0
360.0,87.2,-62.8,289.2,430.8,0.0,1.0
356.0,74.2,-75.8,276.2,443.8,0.0,1.0
352.0,62.2,-87.8,264.2,455.8,0.0,1.0
348.0,51.2,-98.8,253.2,466.8,0.0,1.0
344.0,41.2,-108.8,243.2,476.8,0.0,1.0
340.0,32.2,-117.8,234.2,485.8,0.0,1.0
336.0,24.2,-125.8,226.2,493.8,0.0,1.0
332.0,17.2,-132.8,219.2,500.8,0.0,1.0
328.0,11.2,-138.8,213.2,506.8,0.0,1.0
324.0,6.2,-143.8,208.2,511.8,0.0,1.0
320.0,2.2,-147.8,204.2,515.8,0.0,1.0
316.0,-0.8,-150.8,201.2,518.8,0.0,1.0
312.0,-2.8,-152.8,199.2,520.8,0.0,1.0
308.0,-3.8,-153.8,198.2,521.8,0.0,1.0
304.0,-3.8,-153.8,198.2,521.8,0.0,1.0
300.0,-2.8,-152.8,199.2,520.8,0.0,1.0
296.0,-0.8,-150.8,201.2,518.8,0.0,1.0
292.0,9.2,-140.8,211.2,508.8,0.0,1.0
288.0,19.4,-130.6,221.4,498.6,0.0,1.0
284.0,29.8,-120.2,231.8,488.2,0.0,1.0
280.0,40.4,-109.6,242.4,477.6,0.0,1.0
276.0,51.2,-98.8,253.2,466.8,0.0,1.0
272.0,62.2,-87.8,264.2,455.8,0.0,1.0
268.0,73.4,-76.6,275.4,444.6,0.0,1.0
264.0,84.8,-65.2,286.8,433.2,0.0,1.0
260.0,96.4,-53.6,298.4,421.6,1.0,0.0
256.0,82.4,-67.6,284.4,435.6,0.0,1.0
252.0,69.4,-80.6,271.4,448.6,0.0,1.0
248.0,57.4,-92.6,259.4,460.6,0.0,1.0
244.0,46.4,-103.6,248.4,471.6,0.0,1.0
240.0,36.4,-113.6,238.4,481.6,0.0,1.0
236.0,27.4,-122.6,229.4,490.6,0.0,1.0
232.0,19.4,-130.6,221.4,498.6,0.0,1.0
228.0,12.4,-137.6,214.4,505.6,0.0,1.0
224.0,6.4,-143.6,208.4,511.6,0.0,1.0
220.0,1.4,-148.6,203.4,516.6,0.0,1.0
216.0,-2.6,-152.6,199.4,520.6,0.0,1.0
212.0,-5.6,-155.6,196.4,523.6,0.0,1.0
208.0,-7.6,-157.6,194.4,525.6,0.0,1.0
204.0,-8.6,-158.6,193.4,526.6,0.0,1.0
200.0,-8.6,-158.6,193.4,526.6,0.0,1.0
196.0,-7.6,-157.6,194.4,525.6,0.0,1.0
192.0,-5.6,-155.6,196.4,523.6,0.0,1.0
188.0,4.4,-145.6,206.4,513.6,0.0,1.0
184.0,14.6,-135.4,216.6,503.4,0.0,1.0
180.0,25.0,-125.0,227.0,493.0,0.0,1.0
176.0,35.6,-114.4,237.6,482.4,0.0,1.0
172.0,46.4,-103.6,248.4,471.6,0.0,1.0
168.0,57.4,-92.6,259.4,460.6,0.0,1.0
164.0,68.6,-81.4,270.6,449.4,0.0,1.0
160.0,80.0,-70.0,282.0,438.0,0.0,1.0
156.0,91.6,-58.4,293.6,426.4,0.0,1.0
152.0,103.4,-46.6,305.4,414.6,1.0,0.0
148.0,89.4,-60.6,291.4,428.6,0.0,1.0
144.0,76.4,-73.6,278.4,441.6,0.0,1.0
140.0,64.4,-85.6,266.4,453.6,0.0,1.0
136.0,53.4,-96.6,255.4,464.6,0.0,1.0
132.0,43.4,-106.6,245.4,474.6,0.0,1.0
128.0,34.4,-115.6,236.4,483.6,0.0,1.0
124.0,26.4,-123.6,228.4,491.6,0.0,1.0
120.0,19.4,-130.6,221.4,498.6,0.0,1.0
116.0,13.4,-136.6,215.4,504.6,0.0,1.0
112.0,8.4,-141.6,210.4,509.6,0.0,1.0
108.0,4.4,-145.6,206.4,513.6,0.0,1.0
104.0,1.4,-148.6,203.4,516.6,0.0,1.0
100.0,-0.6,-150.6,201.4,518.6,0.0,1.0
